idMES,DELEGACION DE TRANSITO,FECHA DEL ACCIDENTE,DIA DE LA SEMANA,HORA EN QUE SE RECIBIO LA LLAMADA REPORTANDO EL ACCIDENTE,HORA DE ARRIBO DEL PERITO AL SITIO,HORA DE REGRESO DEL PERITO A LAS INSTALACIONES DE SU DELEGACION,LOCALIDAD ACCIDENTE,MUNICIPIO ACCIDENTE,ZONA,CARRETERA/KILOMETRO DEL ACCIDENTE,NUMERO DE AVENIDA,CALLE/AVENIDA DEL ACCIDENTE,COLONIA,ENTRE CALLES,CONDICIONES DE LA VIA,CONDICIONES NATURALES,SUPERFICIE DE LA VIA,ESTADO DE LA VIA,TANGENTE,TIPO DE CONTROL DE TRANSITO,RESTRICCIONES DE LA VIA,TIPO DE ACCIDENTE,FORMA DE ACCIDENTARSE,CONTRA QUE FUE EL IMPACTO,CANTIDAD DE VEHICULOS,TIPO DE VEHICULO,MARCA,SUBMARCA,ENTIDAD FEDERATIVA DEL VEHICULO,COLOR DEL VEHICULO,MOTOR,SERIE,TIPO DE SERVICIO PARA EL QUE SE OCUPAN LOS VEHICULOS,ASEGURADO,EDAD CONDUCTOR,SEXO CONDUCTOR,TIPO LICENCIA,LICENCIA VIGENTE,CAUSA ATRIBUIBLE AL CONDUCTOR,CAUSA ATRIBUIBLE AL PEATON,DANIOS (MONTO APROXIMADO EN MXN),NUMERO DE HERIDOS,MUJER HERIDA DE 0-15 ANIOS,HOMBRE HERIDO DE 0-15 ANIOS,MUJER HERIDA DE 16-30 ANIOS,HOMBRE HERIDO DE 16-30 ANIOS,MUJER HERIDA DE 31-45 ANIOS,HOMBRE HERIDO DE 31-45 ANIOS,MUJER HERIDA DE 46-60 ANIOS,HOMBRE HERIDO DE 46-60 ANIOS,MUJER HERIDA MAS DE 60 ANIOS,HOMBRE HERIDO MAS DE 60 ANIOS,NUMERO DE MUERTOS,MUJER MUERTA DE 0-15 ANIOS,HOMBRE MUERTO DE 0-15 ANIOS,MUJER MUERTA DE 16-30 ANIOS,HOMBRE MUERTO DE 16-30 ANIOS,MUJER MUERTA DE 31-45 ANIOS,HOMBRE MUERTO DE 31-45 ANIOS,MUJER MUERTA DE 46-60 ANIOS,HOMBRE MUERTO DE 46-60 ANIOS,MUJER MUERTA MAS DE 60 ANIOS,HOMBRE MUERTO MAS DE 60 ANIOS
1,XALAPA,01/01/2014,MIÉRCOLES,,00:35,,XALAPA,XALAPA,URBANA,,,JUAN SEBASTIAN BACH,INDECO ANIMAS,,BUENO,,ASFALTO,,A NIVEL,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,,VEHÍCULO ESTACIONADO,3,CC - CAMIÓN DE CARGA,CHRYSLER,D-600,VERACRUZ,BLANCO,HECHO EN MEXICO,3BGWE66363272,P - PARTICULAR,NO,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,A - AUTOMÓVIL,NISSAN,TSURU,VERACRUZ,TITANIO,QG186793012,3NIEB1564242941,P - PARTICULAR,NO,33,HOMBRE,B,SI,VELOCIDAD INMODERADA,NO APLICA,1500,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,A - AUTOMÓVIL,NISSAN,TSURU,VERACRUZ,PLATA,GA168725395,3NIEB3155X3445062,P - PARTICULAR,NO,,HOMBRE,,NO,,,15000,,,,,,,,,,,,,,,,,,,,,,
2,XALAPA,01/01/2014,MIÉRCOLES,,18:35,,XALAPA,XALAPA,URBANA,,,CALLE BANANAS,CASA BLANCA,,REGULAR,LLUVIA,CONCRETO,MOJADO,DESCENDENTE,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,,OBJETO FIJO,1,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,C - CAMIONETA,PLYMOUNTH,VOYAGER,VERACRUZ,VERDE,HECHO EN USA,SP4625R358479,P - PARTICULAR,NO,67,HOMBRE,B,SI,NO RESPETAR CEDA EL PASO,NO APLICA,1000,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,
3,XALAPA,01/01/2014,MIÉRCOLES,,20:10,20:55,XALAPA,XALAPA,URBANA,,,AVENIDA LAZARO CARDENAS,ANIMAS,,BUENO,NIEBLA,CONCRETO,MOJADO,ASCENDENTE,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,,OBJETO FIJO,1,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,1,,,,,,,,,,,,,,,C - CAMIONETA,CHRYSLER,CARAVAN,PUEBLA,AZUL,HECHO EN USA,1B4CP44PCB54388,P - PARTICULAR,NO,,,,NO,NO GUARDAR DISTANCIA,NO APLICA,10000,,,,,,,,,,,,,,,,,,,,,,
4,XALAPA,01/01/2014,MIÉRCOLES,21:30,21:43,,XALAPA,XALAPA,URBANA,,,CIRCUITO PRESIDENTES,CUAUHTEMOC,,BUENO,NIEBLA,ASFALTO,SECO,DESCENDENTE,NINGUNA,SIN RESTRICCIÓN,VOLCADURA,,VEHÍCULO CIRCULANDO,1,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,9,,,,,,,,,,,,,,,C - CAMIONETA,NISSAN,ROGUE,VERACRUZ,PLATA,HECHO EN USA,JN8A5872AW721501,P - PARTICULAR,NO,,,,NO,VELOCIDAD INMODERADA,NO APLICA,30000,,,,,,,,,,,,,,,,,,,,,,
5,XALAPA,01/01/2014,MIÉRCOLES,,17:15,,XALAPA,XALAPA,URBANA,,,ARAUCARIAS,ANIMAS,,BUENO,,CONCRETO,,DESCENDENTE,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,ÁNGULO,VEHÍCULO CIRCULANDO,2,C - CAMIONETA,CHRYSLER,RAM,VERACRUZ,NEGRO,HECHO EN MEXICO,PM106170,P - PARTICULAR,NO,23,HOMBRE,,NO,,,2500,0,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,A - AUTOMÓVIL,HONDA,ACCORD,PUEBLA,NEGRO,1.35E+13,1HCT227A90035,P - PARTICULAR,NO,26,HOMBRE,C,SI,VELOCIDAD INMODERADA,NO APLICA,15000,,,,,,,,,,,,,,,,,,,,,,
6,XALAPA,01/02/2014,JUEVES,,00:00,,XALAPA,XALAPA,URBANA,,,BOULEVAR EUROPA Y CALLE BERNA,MONTE MAGNA,,BUENO,,CONCRETO,,A NIVEL,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,ÁNGULO,VEHÍCULO CIRCULANDO,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,M - MOTOCICLETA,DIKON,BERLIN 125,VERACRUZ,ROJO,JK156FMIBR00080,1YHZ153000C1100158,P - PARTICULAR,SI,24,HOMBRE,,NO,NO GUARDAR DISTANCIA,NO APLICA,5000,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,A - AUTOMÓVIL,NISSAN,TIDA,VERACRUZ,NEGRO,MR18291522H,3NBC11G382469019,P - PARTICULAR,SI,17,HOMBRE,C,SI,,,12000,,,,,,,,,,,,,,,,,,,,,,
7,XALAPA,01/02/2014,JUEVES,,16:00,16:35,XALAPA,XALAPA,URBANA,,,CIUDAD DE LAS FLORES,BOSQUE,,BUENO,,CONCRETO,,A NIVEL,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,POR ALCANCE,VEHÍCULO CIRCULANDO,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,C - CAMIONETA,PEUGEOT,PALTNER,VERACRUZ,GRIS,10FX6W36411763,VF3CN6A77J006909,P - PARTICULAR,SI,34,HOMBRE,C,SI,NO GUARDAR DISTANCIA,NO APLICA,1200,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,A - AUTOMÓVIL,RENAULT,LAGUNA PRILEGE,VERACRUZ,NEGRO,F160993,VFLBG3LE4SS1984,P - PARTICULAR,NO,24,HOMBRE,,NO,,,9000,,,,,,,,,,,,,,,,,,,,,,
8,XALAPA,01/02/2014,JUEVES,,14:10,,XALAPA,XALAPA,URBANA,,,AVENIDA MURILLO VIDAL,,,BUENO,,CONCRETO,,A NIVEL,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,POR ALCANCE,VEHÍCULO CIRCULANDO,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,11,,,,,,,,,,,,,,,A - AUTOMÓVIL,CHEVROLET,CHEVY,CHIAPAS,BLANCO,2M06120PD,3G1SF224YS252524,P - PARTICULAR,NO,32,MUJER,C,SI,NO GUARDAR DISTANCIA,NO APLICA,3000,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,B - BICICLETA,FORD,EXPLORER,VERACRUZ,ROJO,SIN NUMERO,1FMDU34EVU96868,P - PARTICULAR,NO,64,HOMBRE,B,SI,,,600,,,,,,,,,,,,,,,,,,,,,,
9,XALAPA,01/02/2014,JUEVES,,10:45,,XALAPA,XALAPA,URBANA,,,CIRCUITO AGUIRRE,,,BUENO,SOLEADO,ASFALTO,SECO,ASCENDENTE,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,ÁNGULO,VEHÍCULO CIRCULANDO,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,A - AUTOMÓVIL,NISSAN,TSURU,VERACRUZ,BLANCO/VERDE,GA18860463W,3NIEB31X9K334689,PE - PÚBLICO ESTATAL,SI,37,HOMBRE,,NO,VELOCIDAD INMODERADA,NO APLICA,2000,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,A - AUTOMÓVIL,VOLKSWAGEN,POINTER,VERACRUZ,ROJO,UDH263461,9BWDCO5X02T124338,P - PARTICULAR,NO,51,HOMBRE,A,SI,,,2500,,,,,,,,,,,,,,,,,,,,,,
10,XALAPA,01/02/2014,JUEVES,,14:00,14:30,XALAPA,XALAPA,URBANA,,,AVENIDA LAZARO CARDENAS,ANIMAS,,BUENO,,ASFALTO,,ASCENDENTE,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,POR ALCANCE,VEHÍCULO CIRCULANDO,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,1,,,,,,,,,,,,,,,A - AUTOMÓVIL,NISSAN,TSURU,VERACRUZ,ROJO,GA16775362Y,3NIEB3158K313913,PE - PÚBLICO ESTATAL,SI,28,HOMBRE,A,SI,NO GUARDAR DISTANCIA,NO APLICA,2500,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,A - AUTOMÓVIL,SUZUKI,SX-4,VERACRUZ,ROJO,12081010464,1ZYA5156300392,P - PARTICULAR,SI,33,HOMBRE,A,SI,,,3500,,,,,,,,,,,,,,,,,,,,,,
11,XALAPA,01/02/2014,JUEVES,,15:30,,XALAPA,XALAPA,URBANA,,,ENRIQUEZ,CENTRO,CARRILLO PUERTO,BUENO,,CONCRETO,,A NIVEL,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,POR ALCANCE,VEHÍCULO CIRCULANDO,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,C - CAMIONETA,CHEVROLET,TRACKER,VERACRUZ,BLANCO,HECHO EN USA,8A11CJ203344,P - PARTICULAR,SI,34,HOMBRE,A,SI,NO GUARDAR DISTANCIA,NO APLICA,2000,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,A - AUTOMÓVIL,NISSAN,TSURU,VERACRUZ,BLANCO/VERDE,GA16853868W,3NIEB3150K343933,PE - PÚBLICO ESTATAL,SI,44,HOMBRE,A,SI,,,1000,,,,,,,,,,,,,,,,,,,,,,
12,XALAPA,01/02/2014,JUEVES,,18:50,,XALAPA,XALAPA,URBANA,,,ALTAMIRANO,CENTRO,CLAVIJERO,BUENO,,CONCRETO,,A NIVEL,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,ÁNGULO,VEHÍCULO CIRCULANDO,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,C - CAMIONETA,CHEVROLET,R3600,VERACRUZ,ROJA,3M100820,3GBJC34R53M100820,P - PARTICULAR,NO,44,HOMBRE,A,SI,CAMBIAR CARRIL SIN PRECAUCIÓN,NO APLICA,1500,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,A - AUTOMÓVIL,NISSAN,TSURU,VERACRUZ,BLANCO/VERDE,GA16816307W,3NIEB3158AK,PE - PÚBLICO ESTATAL,SI,39,HOMBRE,A,SI,,,,,,,,,,,,,,,,,,,,,,,,,
13,XALAPA,01/02/2014,JUEVES,,23:10,,XALAPA,XALAPA,URBANA,,,XALAPEÑOS ILUSTRES,CENTRO,,BUENO,,CONCRETO,,A NIVEL,NINGUNA,SIN RESTRICCIÓN,COLISIÓN,LATERAL,VEHÍCULO CIRCULANDO,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,A - AUTOMÓVIL,NISSAN,TSURU,VERACRUZ,BLANCO,GA16864735V,3NIEB31S77303171,PE - PÚBLICO ESTATAL,SI,21,HOMBRE,A,SI,CAMBIAR CARRIL SIN PRECAUCIÓN,NO APLICA,1500,,,,,,,,,,,,,,,,,,,,,,
